h2. Publications with keyword "portal"

| [@anthony1996patterns] | Anthony, D. L. G. (1996). Patterns for classroom education.|
| [@brecht2002cml] | Brecht, J., Chung, M., & Pea, R. D. (2002). CML: the ClassSync modeling language. In Proceedings of the Conference on Computer Support for Collaborative Learning: Foundations for a CSCL Community (189--198). |
| [@bergin2002pattern] | Bergin, J. (2002). A Pattern Language for Course Development in Computer Science.|
| [@avgeriou2003towards] | Avgeriou, P., Papasalouros, A., Retalis, S., & Skordalakis, M. (2003). Towards a pattern language for learning management systems. Educational Technology \& Society, 6(2), 11--24. |
| [@koper2004educational] | Koper, R., & Manderveld, J. (2004). Educational modelling language: modelling reusable, interoperable, rich and personalised units of learning. British Journal of Educational Technology, 35(5), 537--551.|
| [@karampiperis2005designing] | Karampiperis, P., & Sampson, D. (2005). Designing learning services for open learning systems utilizing IMS learning design. In Proceedings of the 4th IASTED International Conference on Web-Based Education (WBE 2005) (21--23).|
| [@koper2005design] | Koper, R., Giesbers, B., Van Rosmalen, P., Sloep, P., Van Bruggen, J., Tattersall, C., Vogten, H., & Brouns, F. (2005). A design model for lifelong learning networks. Interactive Learning Environments, 13(1), 71--92.|
| [@mor2006literature] | Mor, Y., Winters, N., Cerulli, M., & BjörkStaffan. (2006). Literature review on the use of games in mathematical learning, Part I: Design.|
| [@alexopoulou2006literature] | Alexopoulou, E., Bennerstedt, U., Childs, M., Jonker, V., Kynigos, C., Pratt, D., & Wijers, M. (2006). Literature review on the use of games in mathematical learning, Part II: Deployment. |
| [@niramitranon2006coml] | Niramitranon, J., Sharples, M., & Greenhalgh, C. (2006). COML (Classroom Orchestration Modelling Language) and Scenarios Designer: Toolsets to Facilitate Collaborative Learning in a One-to-One Technology Classroom.|
| [@weinbrenner2007ontologybased] | Weinbrenner, S., Engler, J., Bollen, L., & Hoppe, H. U. (2007). Ontologybased Support for Designing Inquiry Learning Scenarios. In AIED (Vol. 2009, 14th).|
| [@bote2008gridcole] | Bote-Lorenzo, M. L., Gómez-SánchezEduardo, Vega-Gorgojo, G., Dimitriadis, Y., Asensio-PérezJ.I., & Jorrín-AbellánIván. (2008). Gridcole: A tailorable grid service based system that supports scripted collaborative learning. Computers \& Education, 51(1), 155--172. |
| [@schuler2008liberating] | Schuler, D. (2008). Liberating voices: A pattern language for communication revolution. The MIT Press.|
| [@ljubojevic2010theoretical] | Ljubojevic, D., & Laurillard, D. (2010). Theoretical approach to distillation of pedagogical patterns from practice to enable transfer and reuse of good teaching. In Proceedings of the 2010 European LAMS & Learning Design Conference.|
| [@alexander1977pattern] | Alexander, C., Ishikawa, S., & Silverstein, M. (1977). A pattern language: towns, buildings, construction (Vol. 2). USA Oxford University Press.|
| [@berge1997making] | Berge, O. (1997). Making distance education collaborative through Internet: Transcending the traditions of distance education and collaborative learning (Master's thesis). |
| [@jonassen1998computers] | Jonassen, D. H., Carr, C., & Yueh, H. P. (1998). Computers as mindtools for engaging learners in critical thinking. TechTrends, 43(2), 24--32.|
| [@jonassen2000mindtools] | Jonassen, D. H., & Carr, C. S. (2000). Mindtools: Affording multiple knowledge representations for learning. Computers as cognitive tools, volume two: no more walls: theory change, paradigm shifts, and their influence on the use of computers for instructional purposes, 165.|
| [@jonassen2000toward] | Jonassen, D. H. (2000). Toward a meta-theory of problem solving. Educational Technology: Research \& Development, 48(4), 63--85.|
| [@bergin2000fourteen] | Bergin, J. (2000). Fourteen pedagogical patterns.|
| [@dearden2002using] | Dearden, A., Finlay, J., Allgar, E., & McManus, B. (2002). Using pattern languages in participatory design. In Proceedings of the Participatory Design Conference (104--112). |
| [@dearden2002evaluating] | Dearden, A., Finlay, J., Allgar, E., & Mcmanus, B. (2002). Evaluating pattern languages in participatory design. In Proceedings of CHI 2002, Conference Extended Abstracts on Human Factors in Computer Systems. Minneapolis ACM Press. |
| [@dearden2002patterns] | Dearden, A., Finlay, J., Allgar, E., & Mcmanus, B. (2002). Patterns Languages in Participatory Design. In Proceedings of People and Computers XVII: Memorable yet Invisible (159--174).|
| [@eckstein2002patterns] | Eckstein, J., Bergin, J., & Sharp, H. (2002). Patterns for active learning. In Proceedings of PloP.|
| [@goodyear2004towards] | Goodyear, P., Avgeriou, P., Baggetun, R., Bartoluzzi, S., Retalis, S., Ronteltap, F., & Rusman, E. (2004). Towards a pattern language for networked learning. In Proceedings of Networked Learning (449--455).|
| [@avgeriou2004towards] | Avgeriou, P., Vogiatzis, D., Tzanavari, A., & Retalis, S. (2004). Towards a pattern language for adaptive web-based educational systems. Advanced Technology for Learning, 1(4). |
| [@brouns2005first] | Brouns, F., Koper, R., Manderveld, J., Van Bruggen, J., Sloep, P., van Rosmalen, P., Tattersall, C., & Vogten, H. (2005). A first exploration of an inductive analysis approach for detecting learning design patterns. Journal of Interactive Media in Education, 3(03), 2. |
| [@barre2005reengineering] | Barre, V., Chaquet, C., & El-KechaïH. (2005). Re-engineering of collaborative e-learning systems: evaluation of system, collaboration and acquired knowledge qualities. In Proceedings of Workshop on Usage Analysis in Learning Systems, Proceedings of Artificial Intelligence in Education.|
| [@kollar2005internal] | Kollar, I., Fischer, F., & Slotta, J. D. (2005). Internal and external collaboration scripts in web-based science learning at schools. In Proceedings of th 2005 conference on Computer support for collaborative learning: learning 2005: the next 10 years! (331–340).|
| [@berge2006reuse] | Berge, O. (2006). Reuse of digital learning resources in collaborative learning environments (PhD thesis). |
| [@harrer2006bridging] | Harrer, A., & Malzahn, N. (2006). Bridging the gap-towards a graphical modeling language for learning designs and collaboration scripts of various granularities.|
| [@gibertdarras2006towards] | Gibert-Darras, F., Delozanne, E., Le Calvez, F., Merceron, A., Labat, J. M., & Vandebrouck, F. (2005). Towards a design pattern language to track students’ problem-solving abilities, 33.|
| [@tattersall2006using] | Tattersall, C., Sodhi, T., Burgos, D., & Koper, R. (2006). Using the IMS Learning Design notation for the modelling and delivery of education.|
