h2. Publications with keyword "wiki"

| [@gardner2010rfam] | Gardner, P. P., Daub, J., Tate, J., Moore, B. L., Osuch, I. H., {Griffiths-Jones}S., Finn, R. D., Nawrocki, E. P., Kolbe, D. L., Eddy, S. R., & Bateman, A. (2010). Rfam: Wikipedia, clans and the "decimal" release. Nucleic Acids Research, 39(Database), D141--D145. doi:10.1093/nar/gkq1129|
| [@welser2011finding] | Welser, H. T., Cosley, D., Kossinets, G., Lin, A., Dokshin, F., Gay, G., & Smith, M. (2011). Finding social roles in Wikipedia. In Proceedings of the 2011 iConference (122--129).|
| [@lawler2011edit] | Lawler, C. (2011). Edit this space: participation and expansive learning in developing Wikiversity (PhD thesis).|
| [@halatchliyski2011divergent] | Halatchliyski, I., Kimmerle, J., & Cress, U. (2011). Divergent and Convergent Knowledge Processes on Wikipedia. In CSCL 2011.|
| [@kim2006study] | Kim, S. H., Han, H. S., & Han, S. G. (2006). The study on effective programming learning using wiki community systems. Innovative Approaches for Learning and Knowledge Sharing, 646--651.|
| [@volkel2006semantic] | VölkelM., KrötzschM., Vrandecic, D., Haller, H., & Studer, R. (2006). Semantic wikipedia. In Proceedings of the 15th international conference on World Wide Web (585--594).|
| [@augar2006wikis] | Augar, N., Raitman, R., & Zhou, W. (2006). Wikis: Collaborative Virtual Learning Environments. In J. Weiss, J. Nolan, J. Hunsinger & P. Trifonas (Eds.), The International Handbook of Virtual Learning Environments (1251--1269). Dordrecht: Springer Netherlands. |
| [@bernstein2006intimate] | Bernstein, M. (2006). Intimate information: organic hypertext structure and incremental formalization for everyone"s everyday tasks. In Proceedings of the 2006 international symposium on Wikis, WikiSym '06 (9--10). New York, NY, USA: ACM. doi:http://doi.acm.org/10.1145/1149453.1149457|
| [@cress2008systemic] | Cress, U., & Kimmerle, J. (2008). A systemic and cognitive view on collaborative knowledge building with wikis. International Journal of Computer-Supported Collaborative Learning, 3(2), 105--122. |
| [@harrer2008visualizing] | Harrer, A., Moskaliuk, J., Kimmerle, J., & Cress, U. (2008). Visualizing wiki-supported knowledge building: Co-evolution of individual and collective knowledge. In Proceedings of the 4th International Symposium on Wikis (1--9).|
| [@moskaliuk2008learning] | Moskaliuk, J., Kimmerle, J., & Cress, U. (2008). Learning and knowledge building with wikis: the impact of incongruity between people's knowledge and a wiki's information. In Proceedings of the 8th international conference on International conference for the learning sciences-Volume 2 (99--106).|
| [@lawler2008action] | Lawler, C. (2008). Action research as a congruent methodology for understanding wikis: the case of Wikiversity. Journal of Interactive Media in Education, 6, 1--11.|
| [@larusson2009wikis] | Larusson, J. A., & Alterman, R. (2009). Wikis to support the “collaborative” part of collaborative learning. International Journal of Computer-Supported Collaborative Learning, 4(4), 371--402.|
| [@kimmerle2009understanding] | Kimmerle, J., Moskaliuk, J., & Cress, U. (2009). Understanding learning: the Wiki way. In Proceedings of the 5th International Symposium on Wikis and Open Collaboration (3).|
| [@moskaliuk2009wiki] | Moskaliuk, J., Kimmerle, J., & Cress, U. (2009). Wiki-supported learning and knowledge building: effects of incongruity between knowledge and information. Journal of computer assisted learning, 25(6), 549--561.|
| [@karasavvidis2010wikibooks] | Karasavvidis, I. (2010). Wikibooks as Tools for Promoting Constructivist Learning in Higher Education: Findings from a Case Study. In K. Elleithy, T. Sobh, M. Iskander, V. Kapila, M. A. Karim & A. Mahmood (Eds.), Technological Developments in Networking, Education and Automation (133--138). Dordrecht: Springer Netherlands. |
| [@hwang2010semantic] | Hwang, D., Nguyen, N. T., Jung, J. J., Sadeghi-Niaraki, A., Baek, K. H., & Han, Y. S. (2010). A Semantic Wiki Framework for Reconciling Conflict Collaborations Based on Selecting Consensus Choice. Journal of Universal Computer Science, 16(7), 1024--1035.|
| [@khandaker2010classroomwiki] | Khandaker, N., & Soh{Leen-Kiat}. (2010). {ClassroomWiki:} A Collaborative Wiki for Instructional Use with Multiagent Group Formation. {IEEE} Transactions on Learning Technologies, 3(3), 190--202. doi:10.1109/TLT.2009.50|
| [@de-wever2010development] | De Wever, B., & Van Keer, H. (2010). Development of a content analysis approach for collaboration in a wiki environment. In Proceedings of the 9th International Conference of the Learning Sciences - Volume 2, ICLS '10 (117--119). International Society of the Learning Sciences. |
| [@nalepa2010collective] | Nalepa, G. J. (2010). Collective knowledge engineering with semantic wikis. Journal of Universal Computer Science, 16(7), 1006--1023.|
| [@glassman2011logic] | Glassman, M., & Kang, M. J. (2011). The logic of wikis: The possibilities of the Web 2.0 classroom. International Journal of Computer-Supported Collaborative Learning, 1--20.|
| [@pifarre2011wiki] | PifarréManoli, & Staarman, J. K. (2011). Wiki-supported collaborative learning in primary education: How a dialogic space is created for thinking together. International Journal of {Computer-Supported} Collaborative Learning. doi:10.1007/s11412-011-9116-x|
| [@hermann2011electures-wiki] | Hermann, C., & Ottmann, T. (2011). {Electures-Wiki} -- Towards Engaging Students to Actively Work with Lecture Recordings. {IEEE} Transactions on Learning Technologies. doi:10.1109/TLT.2011.18|
| [@nielsen2011wikipedia] | NielsenF.å. (2011). Wikipedia research and tools: Review and comments.|
| [@lin2011wikibooks] | Lin, M. F. G., Sajjapanroj, S., & Bonk, C. J. (2011). Wikibooks and Wikibookians: {Loosely-Coupled} Community or a Choice for Future Textbook?. {IEEE} Transactions on Learning Technologies. doi:10.1109/TLT.2011.12|
| [@knight2012wikipedia] | Knight, C., & Pryke, S. (2012). Wikipedia and the University, a case study.|
